user_id,signup_date,user_segment,avg_monthly_spend,base_churn_prob,tenure_days,lifetime_value
1,2024-04-14,low,269.447315539284,0.04989034087438741,262,5400.791231667295
2,2023-07-13,high,1230.0243433908088,0.017366417866100926,538,70827.7523248939
3,2024-08-06,medium,509.3390678416479,0.030946274834524973,148,16458.816790233108
4,2024-01-17,medium,353.63264508696943,0.03131583989515992,350,11292.452837633322
5,2023-10-19,low,174.71009778902487,0.04668379499436989,440,3742.414210543403
6,2024-07-23,low,295.9831157555602,0.04864861285520494,162,6084.10185582286
7,2023-07-19,low,235.60767562314683,0.05255455071147682,532,4483.107027527019
8,2023-10-07,high,1029.4678119473467,0.01747927537064316,452,58896.48112509064
9,2024-08-08,medium,461.57960171678826,0.032989395491967353,146,13991.756891367684
10,2024-04-30,medium,603.8203913076912,0.028170914899534896,246,21434.1775359827
11,2023-05-22,low,171.2585920662142,0.05463014739332721,590,3134.8733297968834
12,2023-10-24,high,2010.1304932703401,0.016683510406713155,435,120486.06344031161
13,2023-01-25,medium,379.1591605375942,0.032869766722284186,707,11535.194750273105
14,2024-03-12,low,164.07826378300695,0.05239722534315346,295,3131.430389843084
15,2024-03-07,low,122.93596504840174,0.04642840482313934,300,2647.8610565386466
16,2023-01-25,low,229.77345861332836,0.04548412264580501,707,5051.728938527086
17,2023-06-21,low,276.0624393499634,0.053224567988868404,560,5186.748334109545
18,2023-03-27,medium,735.1391966483978,0.02895390702251121,646,25389.98263953941
19,2023-09-04,low,106.797028524935,0.05152279926710206,485,2072.8110670245787
20,2024-03-05,low,167.83870054507446,0.04896376751844707,302,3427.8142604496543
21,2023-03-09,medium,640.5551069613743,0.03200664667070872,664,20013.190183637274
22,2023-01-20,low,105.51128297316308,0.05538605345679227,712,1905.0153673699547
23,2024-06-22,low,198.7037829912158,0.051133975466491,193,3885.9443487125295
24,2024-02-11,low,159.5988370379705,0.04841667572001162,325,3296.360905918309
25,2024-07-04,low,242.07502679586634,0.05553427605888517,181,4359.020121900657
